Sample in Buffer,Sample in Window,TRIGGER,tsm_I_1[11:0],tsm_Q_1[11:0],tsm_I[11:0],tsm_Q[11:0],rev_I[11:0],rev_Q[11:0],rev_valid_1,rev_valid_2,rev_valid_3,rev_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX
6646,6646,0,802,ffe,802,ffe,80,645,1,1,1,1
6647,6647,0,802,ffe,802,ffe,-693,75,1,1,1,1
6648,6648,0,002,802,002,802,-1166,-22,1,1,1,1
6649,6649,0,002,802,002,802,-1404,-723,1,1,1,1
6650,6650,0,7fe,002,7fe,002,-1169,-1321,1,1,1,1
6651,6651,0,7fe,002,7fe,002,756,-348,1,1,1,1
6652,6652,0,ffe,7fe,ffe,7fe,2047,727,1,1,1,1
6653,6653,0,ffe,7fe,ffe,7fe,1331,1104,1,1,1,1
6654,6654,0,7fe,002,7fe,002,115,675,1,1,1,1
6655,6655,0,7fe,002,7fe,002,-640,67,1,1,1,1
6656,6656,0,ffe,7fe,ffe,7fe,-1206,-24,1,1,1,1
6657,6657,0,ffe,7fe,ffe,7fe,-1422,-701,1,1,1,1
6658,6658,0,802,ffe,802,ffe,-1158,-1322,1,1,1,1
6659,6659,0,802,ffe,802,ffe,768,-362,1,1,1,1
6660,6660,0,002,802,002,802,2047,738,1,1,1,1
6661,6661,0,002,802,002,802,1317,1105,1,1,1,1
6662,6662,0,7fe,002,7fe,002,84,647,1,1,1,1
6663,6663,0,7fe,002,7fe,002,-663,65,1,1,1,1
6664,6664,0,ffe,7fe,ffe,7fe,-1221,-20,1,1,1,1
6665,6665,0,ffe,7fe,ffe,7fe,-1381,-705,1,1,1,1
6666,6666,0,802,ffe,802,ffe,-1448,-1315,1,1,1,1
6667,6667,0,802,ffe,802,ffe,-1231,-359,1,1,1,1
6668,6668,0,002,802,002,802,-1069,362,1,1,1,1
6669,6669,0,002,802,002,802,-1357,-622,1,1,1,1
6670,6670,0,7fe,002,7fe,002,-1216,-1370,1,1,1,1
6671,6671,0,7fe,002,7fe,002,760,-361,1,1,1,1
6672,6672,0,ffe,7fe,ffe,7fe,2047,710,1,1,1,1
6673,6673,0,ffe,7fe,ffe,7fe,1327,1102,1,1,1,1
6674,6674,0,802,ffe,802,ffe,70,677,1,1,1,1
6675,6675,0,802,ffe,802,ffe,-674,66,1,1,1,1
6676,6676,0,002,802,002,802,-1230,-28,1,1,1,1
6677,6677,0,002,802,002,802,-1420,-710,1,1,1,1
6678,6678,0,7fe,002,7fe,002,-1171,-1320,1,1,1,1
6679,6679,0,7fe,002,7fe,002,774,-330,1,1,1,1
